980925,1,2019-04-30T18:00,AQ902849,DIWA,2,filldv-ob-066,190091,46,3,0,3,106.0,106.0,106.0,,,,,3,5.0E7,5.0E7,5.0E7,,,,,106.0,,5.0E7,,,,,,3,5.0E7,5.0E7,5.0E7,5.0E7,,,,,,,,3,6.0,6.0,6.0,6.0,,,,,,,,3,2.56147,2.56147,2.56147,2.56147,,,,,,,
2508496,1,2019-04-30T18:00,AX634270,DIWA,2,filldv-ob-066,190091,46,3,0,3,101.0,101.0,101.0,,,,,3,1.0E8,1.0E8,1.0E8,,,,,101.0,,1.0E8,,,,,,3,1.0E8,1.0E8,1.0E8,1.0E8,,,,,,,,3,8.0,8.0,8.0,8.0,,,,,,,,3,2.383282,2.383282,2.383282,2.383282,,,,,,,
302134,1,2019-04-30T18:00,AW780349,DIWA,2,filldv-ob-066,190091,46,3,0,3,102.16,102.16,102.16,,,,,3,2.5E7,2.5E7,2.5E7,,,,,102.16,,2.5E7,,,,,,3,2.5E7,2.5E7,2.5E7,2.5E7,,,,,,,,3,26.0,26.0,26.0,26.0,,,,,,,,3,2.568293,2.568293,2.568293,2.568293,,,,,,,
3257452,1,2019-04-30T18:00,AR657845,DIWA,2,filldv-ob-066,190091,46,3,0,3,104.0,104.0,104.0,,,,,3,1.0E7,1.0E7,1.0E7,,,,,104.0,,1.0E7,,,,,,3,1.0E7,1.0E7,1.0E7,1.0E7,,,,,,,,3,37.0,37.0,37.0,37.0,,,,,,,,3,2.8667393,2.8667393,2.8667393,2.8667393,,,,,,,
7446,1,2019-04-30T18:00,TT331188,DIWA,2,filldv-ob-066,190091,46,3,0,3,105.0,105.0,105.0,,,,,3,1510000.0,1510000.0,1510000.0,,,,,105.0,,1510000.0,,,,,,3,1510000.0,1510000.0,1510000.0,1510000.0,,,,,,,,3,30.0,30.0,30.0,30.0,,,,,,,,3,2.7127717,2.712772,2.712772,2.712772,,,,,,,
8738,3,2019-04-30T18:00,AW541713,DIWA,2,filldv-ob-066,190091,46,3,0,3,109.0,109.0,109.0,,,,,3,5.0E7,5.0E7,5.0E7,,,,,109.0,,5.0E7,,,,,,3,5.0E7,5.0E7,5.0E7,5.0E7,,,,,,,,3,8.0,8.0,8.0,8.0,,,,,,,,3,2.3890045,2.3890045,2.3890045,2.3890045,,,,,,,
258342,1,2019-04-30T18:00,AR657845,DIWA,2,filldv-ob-066,190091,46,3,0,3,104.0,104.0,104.0,,,,,3,1.0E7,1.0E7,1.0E7,,,,,104.0,,1.0E7,,,,,,3,1.0E7,1.0E7,1.0E7,1.0E7,,,,,,,,3,37.0,37.0,37.0,37.0,,,,,,,,3,2.8667393,2.8667393,2.8667393,2.8667393,,,,,,,
425875,1,2019-04-30T18:00,AW780349,DIWA,2,filldv-ob-066,190091,46,3,0,3,102.16,102.16,102.16,,,,,3,2.5E7,2.5E7,2.5E7,,,,,102.16,,2.5E7,,,,,,3,2.5E7,2.5E7,2.5E7,2.5E7,,,,,,,,3,26.0,26.0,26.0,26.0,,,,,,,,3,2.568293,2.568293,2.568293,2.568293,,,,,,,
4479759,1,2019-04-30T18:00,AX634270,DIWA,2,filldv-ob-066,190091,46,3,0,3,101.0,101.0,101.0,,,,,3,1.0E8,1.0E8,1.0E8,,,,,101.0,,1.0E8,,,,,,3,1.0E8,1.0E8,1.0E8,1.0E8,,,,,,,,3,8.0,8.0,8.0,8.0,,,,,,,,3,2.383282,2.383282,2.383282,2.383282,,,,,,,
23288812,1,2019-04-30T18:00,AX634270,DIWA,2,filldv-ob-066,190091,46,3,0,3,101.0,101.0,101.0,,,,,3,1.0E8,1.0E8,1.0E8,,,,,101.0,,1.0E8,,,,,,3,1.0E8,1.0E8,1.0E8,1.0E8,,,,,,,,3,8.0,8.0,8.0,8.0,,,,,,,,3,2.383282,2.383282,2.383282,2.383282,,,,,,,
